ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Durango,Durango,2009,0.97,1,0.48,0.35,2.28,116.69,3.33,3.56,3,100,5,27351.87,0.1,0.99,4,0,1.75,0.36,0.18,0.02,0,0.43,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2009,0.98,0,0.6,0.36,2,94.65,1.67,0.04,2,91.67,2,33750.9,0.08,0.36,7.33,0,0.55,0.27,0.2,0.01,0,0.43,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2009,0.88,0,0.56,0.37,2,136.6,2.67,7.39,0,100,0,53844.81,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2009,0.95,0,0.62,0.42,2,105.96,2.67,2.13,0,100,0,26957.22,0.06,0,11,0.01,0.04,0.65,0.17,0.01,0,0.39,0,2,0,0.26,0.8
León,Guanajuato,2009,0.99,0,0.64,0.5,2,155.67,2,1.07,4,75,4,19091.18,0.08,0.31,11,0.01,1.15,0.35,0.17,0.01,3,0.39,15,7,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2009,0.91,0,0.6,0.39,2,52.86,3.33,0.86,4,87.5,4,25871.65,0.11,0,2.5,0,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2009,0.97,0,0.68,0.43,2,63.86,1.67,0,2,100,2,28835.28,0.12,0,6.5,0.02,0.3,0.48,0.2,0.01,2,0.32,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2009,0.8,0,0.52,0.33,3.04,190.82,3.67,2.31,8,62.5,8,46495.6,0,0.61,3,0.01,0.3,0.37,0.29,0,0,0.33,18,8,0,0.11,0.69
Chilpancingo,Guerrero,2009,0.87,0,0.46,0.33,3.1,38.46,3.33,0,1,75,1,28580.53,0.01,0.78,4,0.08,0.07,0.1,0.19,0,2,0.26,0,2,0.01,0.15,0.85
Tula,Hidalgo,2009,0.94,0,0.63,0.45,2.48,87.86,1.67,0,3,100,5,34191.13,0.09,3.24,4,0.04,0.3,0.01,0.23,0,2,0.82,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2009,0.96,0,0.59,0.43,2.22,47.34,3.67,0.05,1,91.67,15,40779.85,0.06,0.51,2,0.03,0.16,0.47,0.23,0,2,0.42,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2009,0.96,0,0.51,0.4,2.07,38.37,2.33,0.02,7,100,8,31860.57,0.07,0,4,0.01,1.34,0.13,0.31,0,0,0.45,0,4,0,0.27,0.77
Guadalajara,Jalisco,2009,1,0,0.49,0.4,2.06,34.8,3,0.08,0,96.88,0,15609.37,0.08,1.67,11,0.03,1.47,0.21,0.19,0.01,3,0.92,21,18,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2009,0.99,0,0.46,0.35,3,129.15,3.67,3.06,0,100,0,42210.47,0.01,0.36,3,0,0.45,0.17,0.29,0.01,2,0.76,20,8,0,0.25,0.78
Toluca,Mexico,2009,0.9,0,0.65,0.59,2,60.5,2.67,0.67,0,90,0,7312.49,0.04,2.84,11,0.03,1.26,0.31,0.17,0.01,0,0.5,7,10,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2009,0.99,0,0.62,0.33,2,34.35,4.33,1.13,1,100,1,20498.74,0.1,0.35,1,0,0.34,0.13,0.22,0.01,2,0.85,0,1,0,0.26,0.86
Morelia,Michoacan,2009,0.96,0,0.58,0.48,2.12,118.89,3,1.16,2,91.67,2,21699.4,0.13,0.23,2.67,0.01,1.89,0.21,0.27,0,0,0.66,10,9,0.02,0.27,0.72
Uruapan,Michoacan,2009,0.98,0,0.52,0.36,3.14,89.12,3.67,1.36,0,75,0,24956.66,0.06,0.29,1,0,1.53,0.1,0.16,0,2,0.82,1,2,0,0.27,0.82
Cuautla,Morelos,2009,0.94,0,0.67,0.45,2,93.45,3,1.69,0,83.33,0,25546.75,0.02,1.51,4,0.05,0.05,0.27,0.3,0,2,0.69,0,1,0,0.17,0.79
Cuernavaca,Morelos,2009,0.96,1,0.68,0.51,2.06,215.29,3,0.67,0,93.75,0,15525.1,0.02,1.33,4.13,0.03,0.73,0.27,0.28,0,0,0.89,0,10,0.04,0.24,0.72
Tepic,Nayarit,2009,0.96,0,0.55,0.31,3,118.25,3.67,1.86,1,100,1,19255.46,0.04,0.3,4,0,0.21,0.24,0.2,0,2,0.4,3,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2009,0.99,1,0.45,0.24,2.02,41.33,3.67,1.38,8,96.15,12,17542.15,0.01,1.36,9,0.01,3.16,0.32,0.19,0.01,3,0.74,19,13,0.01,0.37,0.65
Oaxaca,Oaxaca,2009,0.97,0,0.62,0.59,3,80,2.33,0.13,4,89.77,4,21133.64,0.02,0.54,1.18,0.06,0.27,0.11,0.2,0,0,0,10,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2009,0.73,0,0.53,0.42,3,2.06,3.33,1.29,14,66.67,24,41396.19,0,3.34,1,0.01,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2009,0.96,1,0.66,0.51,2.88,59.57,2.33,0.76,36,87.18,40,16727.15,0.04,1.54,4.46,0.04,0.64,0.45,0.19,0,0,0.59,8,4,0.01,0.19,0.7
Tehuacán,Puebla,2009,0.93,0,0.64,0.48,3,57.15,3.33,0.01,0,75,0,15264.71,0.03,0,4,0.03,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2009,0.99,0,0.58,0.47,2.02,89.4,1.67,0.54,4,87.5,4,11841.14,0.07,1.31,5,0.01,1.28,0.21,0.21,0,0,0.62,7,16,0.01,0.36,0.74
San Juan del Río,Queretaro,2009,0.98,0,0.68,0.46,2,102.36,3,0.54,1,100,1,16293.84,0.06,1.53,2,0.01,0.7,0.51,0.22,0,2,0.55,0,4,0.07,0.24,0.78
Cancún,Quintana Roo,2009,0.95,1,0.52,0.41,3,161.37,4.67,1.86,4,87.5,4,35230.68,0.01,0.14,4,0,2.15,0.3,0.23,0.01,0,0.98,41,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2009,0.84,0,0.49,0.44,3.09,253.65,4.33,0.41,3,75,4,103540.65,0.02,0,4,0,0.2,0.25,0.17,0.01,2,0.34,2,2,0,0.39,0.9
Rioverde-Ciudad Fernández,San Luis Potosi,2009,0.76,0,0.64,0.43,3.06,74.26,4.67,0.9,3,75,3,44094.23,0.02,0,1,0,0.22,0.09,0.21,0,2,0.49,0,0,0.05,0.22,0.93
San Luis Potosí-Soledad,San Luis Potosi,2009,0.98,0,0.53,0.4,2.02,93.45,4.33,1.49,4,100,4,21210.52,0.06,1.25,3,0,3.01,0.43,0.19,0.01,0,0.95,13,15,0,0.35,0.77
Los Mochis,Sinaloa,2009,0.95,0,0.38,0.21,3,133.26,4.67,1.6,8,100,13,36630.52,0.01,0.48,0,0,0.92,0.39,0.21,0.01,2,0.15,3,2,0,0.39,0.85
Culiacán,Sinaloa,2009,0.96,1,0.32,0.19,2.44,191.76,4.67,2.35,1,100,1,36614.05,0.01,0.27,1,0.01,1.32,0.32,0.22,0.01,0,0.34,8,2,0.04,0.42,0.81
Mazatlán,Sinaloa,2009,0.97,0,0.43,0.27,3,346.92,4,2.31,2,100,2,31955.91,0.01,1.22,0,0.01,0.78,0.43,0.22,0.01,2,0.37,13,4,0,0.3,0.81
Ciudad Obregón ,Sonora,2009,0.96,0,0.37,0.21,2.02,249.66,2.67,2.17,7,100,10,32598.7,0.01,0.29,1,0,0.23,0.44,0.21,0.01,2,0,5,4,0,0.36,0.85
Guaymas,Sonora,2009,0.87,0,0.35,0.23,2,74.73,3,1.65,15,100,21,44662.6,0.01,1.07,1,0.03,0.02,0.31,0.22,0.01,2,0,1,7,0,0.32,0.83
Hermosillo,Sonora,2009,0.98,0,0.41,0.24,2.08,792.76,4.33,0.32,2,100,2,14460.89,0.01,0.65,1,0.01,0.12,0.39,0.21,0.01,0,0,12,7,0,0.51,0.82
Cárdenas,Tabasco,2009,0.49,0,0.45,0.32,3.78,90.87,4,1.16,11,75,13,1056.47,0,0.84,2,0,0.23,0.15,0.12,0,2,0.37,0,0,0.13,0.15,0.82
Villahermosa,Tabasco,2009,0.93,0,0.29,0.26,4,100.46,4,0.49,17,75,21,13470.85,0.01,0.64,2.5,0.01,0.18,0.12,0.17,0,0,0.79,15,3,0.07,0.25,0.71
Tampico-Pánuco,Tamaulipas,2009,0.91,0,0.35,0.27,3.67,97.1,4.33,1.62,26,85,40,24727.8,0.01,0.86,1.2,0,0.79,0.48,0.2,0,0,0.79,11,6,0.01,0.24,0.77
Matamoros,Tamaulipas,2009,0.92,0,0.39,0.2,3,100.39,3.67,0.33,2,100,4,50685.73,0.01,3.03,1,0,0.97,0.72,0.24,0,2,0.77,4,0,0.02,0.41,0.78
Nuevo Laredo,Tamaulipas,2009,1,0,0.5,0.27,3.12,95.45,4,0.55,1,100,2,46852.17,0.03,0.23,1,0,1.12,0.61,0.23,0,2,0.68,3,5,0.01,0.52,0.82
Reynosa-Río Bravo,Tamaulipas,2009,0.96,0,0.36,0.21,3,86.54,3.67,1.01,4,100,8,30791.1,0.01,6.76,1,0,1.19,0.48,0.26,0.01,0,0.54,6,2,0,0.35,0.77
Ciudad Victoria,Tamaulipas,2009,0.97,0,0.43,0.21,2.17,28.48,4.33,2.26,0,100,0,46368.77,0.01,0,1,0.01,1.12,0.39,0.16,0.01,2,0.68,2,2,0,0.49,0.86
Tlaxcala-Apizaco,Tlaxcala,2009,0.98,0,0.6,0.53,3,80.61,2.33,0.98,23,90.79,23,27407.21,0.06,3.07,2.11,0,0.35,0.89,0.21,0,2,0.71,0,0,0.01,0.17,0.79
Veracruz,Veracruz,2009,0.95,0,0.51,0.39,3,106.18,3.67,2.04,30,90,45,33633,0.01,1.35,1.2,0,0.47,0.13,0.26,0.02,0,0.85,17,1,0,0.24,0.73
Córdoba,Veracruz,2009,0.96,0,0.59,0.5,2.89,23.87,3.67,0.61,7,81.25,9,13556.29,0.02,0.6,1,0,0.21,0.31,0.15,0,2,0.91,0,0,0.07,0.17,0.81
Orizaba,Veracruz,2009,0.91,0,0.62,0.59,2.31,112.33,3.33,3.64,33,72.92,38,17536.16,0.02,1.28,1.08,0,0.3,0.28,0.14,0,2,0.86,0,5,0.02,0.13,0.8
Xalapa,Veracruz,2009,0.98,0,0.5,0.5,3.05,95.92,4,1.2,32,89.29,42,21192.38,0.01,0.18,1.29,0,0.63,0.26,0.18,0,0,0.94,2,0,0.04,0.22,0.75
Poza Rica,Veracruz,2009,0.75,0,0.58,0.42,3,75.1,4.33,0.06,28,65,32,28379.94,0.01,7.23,1.2,0.04,0.12,0.01,0.12,0,0,0.92,5,0,0.06,0.17,0.8
Coatzacoalcos,Veracruz,2009,0.98,0,0.38,0.32,3.02,9.86,3.67,0.5,21,91.67,24,13970.96,0.01,0.85,1,0,0.2,0.05,0.2,0,2,0.99,0,0,0.05,0.17,0.76
Mérida,Yucatan,2009,0.93,1,0.68,0.68,3,181.24,4.67,0.09,5,90,5,14606.07,0.01,0.36,0.4,0,5.12,0.32,0.21,0.01,0,0.49,16,2,0.07,0.37,0.72
Zacatecas-Guadalupe,Zacatecas,2009,0.99,0,0.52,0.41,2,93.91,3,0.43,6,100,8,32382.2,0.18,0.46,3,0,1.9,0.21,0.21,0.01,2,0.76,7,1,0.04,0.4,0.84
Aguascalientes,Aguascalientes,2010,1,1,0.65,0.5,2,107.88,3.33,2.77,2,100,7,13202.62,0.16,1.06,2,0.01,4.8,0.35,0.2,0,1,0.66,13,9,0.01,0.35,0.81
Ensenada,Baja California,2010,0.92,0,0.49,0.27,2.11,112.06,3,1.23,0,100,2,30926.04,0.04,0.53,4,0.02,0.94,0.36,0.23,0,2,0.43,0,5,0,0.42,0.83
Mexicali,Baja California,2010,0.97,0,0.42,0.18,2.02,34.7,2.67,3.68,1,100,2,47047.9,0.01,1.19,6,0,1.78,0.4,0.23,0.01,1,0.29,4,7,0.02,0.57,0.81
Tijuana,Baja California,2010,0.97,0,0.44,0.24,2.13,53.96,3,1.44,6,100,6,22367.2,0.04,0.95,6,0,1.16,0.24,0.24,0,0,0.46,9,10,0.02,0.4,0.73
La Paz,Baja California Sur,2010,0.97,0,0.36,0.21,2.08,85.32,2,1.78,4,100,7,42624.48,0.02,0.89,1,0.01,0.29,0.12,0.2,0.02,2,0.41,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2010,0.94,0,0.41,0.24,2.01,93.98,3,1.47,0,100,4,35619,0.03,1.14,0,0,0.85,0.43,0.27,0.02,2,0.39,22,2,0,0.39,0.79
Campeche,Campeche,2010,0.93,0,0.59,0.4,3,340.34,4.67,0.25,0,100,2,27013.17,0,0,1,0,0.22,0.77,0.16,0.01,2,0.81,4,3,0,0.34,0.76
Ciudad del Carmen,Campeche,2010,0.89,0,0.41,0.34,3.01,112.83,4.67,0.1,2,75,2,14823.2,0.02,8.48,0,0.01,0.27,0.9,0.18,0.01,2,0.67,6,3,0,0.31,0.84
Saltillo,Coahuila,2010,0.97,0,0.54,0.32,2.03,4.8,4,2.64,4,91.67,11,10473.09,0.02,1.06,3,0,3.81,0.49,0.18,0,0,0.39,6,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2010,0.99,0,0.4,0.21,2.16,152.28,4.33,1.45,3,100,6,33476.08,0.01,1.24,3,0.01,2.24,0.98,0.12,0,2,0.56,0,0,0,0.41,0.85
La Laguna,Coahuila,2010,0.93,0,0.64,0.44,2,115.34,4.33,1.91,1,100,3,13377.87,0.01,1.62,5.5,0,2.61,0.64,0.22,0,0,0.53,10,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2010,0.99,0,0.41,0.21,3,77.78,3.67,2.1,0,100,6,22126.31,0.01,1.85,3,0,1.54,0.48,0.21,0,2,0.65,3,0,0.02,0.42,0.84
Tecomán,Colima,2010,0.94,0,0.42,0.19,3,131.52,3.67,2.08,0,75,3,39384.33,0,1.57,1,0,0.49,0.88,0.17,0.01,2,0.68,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2010,0.99,0,0.62,0.36,2.48,189.04,4.33,2.14,0,95,0,37484.98,0.05,0.89,1.4,0,2.56,0.47,0.22,0.01,2,0.53,4,3,0.05,0.41,0.86
Manzanillo,Colima,2010,0.95,0,0.47,0.28,2.89,13.04,4.33,1.99,1,100,0,52896.01,0.01,2.7,1,0.01,0.4,0.49,0.25,0.02,2,0.68,10,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2010,0.96,0,0.46,0.41,3.43,92.52,3.33,0.96,0,75,2,25468.23,0.01,0.87,2.67,0.05,1.19,0.3,0.16,0,0,0.51,9,3,0,0.21,0.73
Tapachula,Chiapas,2010,0.74,0,0.56,0.42,3,55.95,3.33,0.07,0,75,3,31515.11,0,0.75,2,0.02,0.09,0.26,0.17,0.01,2,0.39,2,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2010,0.99,0,0.5,0.24,2.25,205.48,3.33,2.68,2,100,5,22977.57,0.02,1.5,2.33,0.01,2.18,0.27,0.21,0.01,2,0.69,15,6,0.04,0.51,0.79
Juárez,Chihuahua,2010,1,1,0.44,0.23,2.09,99.36,3,2.29,2,100,3,26400.91,0.02,4.23,3,0.01,2.01,0.74,0.25,0,1,0.46,6,6,0,0.39,0.73
Valle de México,Ciudad de México,2010,0.99,1,0.47,0.64,2.05,99.52,2,0.32,23,94.08,23,5747.69,0.03,1.12,11.96,0.01,1.43,0.41,0.14,0,3,0.61,28,33,0.12,0.19,0.59
Durango,Durango,2010,0.97,1,0.48,0.35,2.28,114.49,3.33,3.75,0,100,4,25420.48,0.1,1.66,4,0,1.75,0.36,0.18,0.02,0,0.43,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2010,0.98,0,0.6,0.36,2,92.95,1.67,0.02,0,91.67,2,29902.26,0.08,0.71,7.33,0.03,0.55,0.27,0.2,0.01,0,0.39,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2010,0.88,0,0.56,0.37,2,133.55,2.67,0.82,0,100,0,49349.03,0.05,1.61,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2010,0.95,0,0.62,0.42,2,103.93,2.67,2.08,4,100,0,25455.51,0.06,0.63,11,0,0.04,0.65,0.17,0.01,0,0.34,0,2,0,0.26,0.8
León,Guanajuato,2010,0.99,0,0.64,0.5,2,151.83,2,1.05,10,75,4,16817.9,0.08,0.06,11,0.04,1.15,0.35,0.17,0.01,3,0.37,15,7,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2010,0.91,0,0.6,0.39,2,51.97,3.33,0.85,1,87.5,3,24535.81,0.11,0,2.5,0.11,0.34,0.35,0.24,0,2,0.23,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2010,0.97,0,0.68,0.43,2,62.13,1.67,0,2,100,2,27864.26,0.12,0.63,6.5,0,0.3,0.48,0.2,0.01,2,0.32,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2010,0.8,0,0.52,0.33,3.04,187.31,3.67,2.56,1,62.5,5,44159,0,1.08,3,0.03,0.3,0.37,0.29,0,1,0.33,18,8,0,0.11,0.69
Chilpancingo,Guerrero,2010,0.87,0,0.46,0.33,3.1,37.54,3.33,0.91,0,75,6,26883.61,0.01,0.78,4,0.15,0.07,0.1,0.19,0,2,0.23,0,2,0.01,0.15,0.85
Tula,Hidalgo,2010,0.94,0,0.63,0.45,2.48,85.98,1.67,0,4,100,2,33156.22,0.09,5.54,4,0.01,0.3,0.01,0.23,0,2,0.82,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2010,0.96,0,0.59,0.43,2.22,46.01,3.67,0.08,0,91.67,2,38342.79,0.06,0,2,0.03,0.16,0.47,0.23,0,2,0.38,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2010,0.96,0,0.51,0.4,2.07,37.01,2.33,0.02,1,100,1,30172.58,0.07,0,4,0.01,1.34,0.13,0.31,0,0,0.45,0,4,0,0.27,0.77
Guadalajara,Jalisco,2010,1,0,0.49,0.4,2.06,34.05,3,0.08,12,96.88,0,14474.67,0.08,1.81,11,0.04,1.47,0.21,0.19,0.01,3,0.86,21,18,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2010,0.99,0,0.46,0.35,3,126.31,3.67,2.92,0,100,1,40288.57,0.01,0,3,0,0.45,0.17,0.29,0.01,2,0.6,20,8,0,0.25,0.78
Toluca,Mexico,2010,0.9,0,0.65,0.59,2,58.79,2.67,0.99,0,90,1,6666.06,0.04,3.35,11,0.01,1.26,0.31,0.17,0.01,0,0.45,7,10,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2010,0.99,0,0.62,0.33,2,36.45,4.33,1.12,0,100,4,19433.1,0.1,0.34,1,0,0.34,0.13,0.22,0.01,2,0,0,1,0,0.26,0.86
Morelia,Michoacan,2010,0.96,0,0.58,0.48,2.12,117.03,3,1.14,6,91.67,3,20532.07,0.13,0.46,2.67,0.01,1.89,0.21,0.27,0,0,0,10,9,0.02,0.27,0.72
Uruapan,Michoacan,2010,0.98,0,0.52,0.36,3.14,86.98,3.67,1.33,2,75,0,23295.38,0.06,0.83,1,0,1.53,0.1,0.16,0,2,0,1,2,0,0.27,0.82
Cuautla,Morelos,2010,0.94,0,0.67,0.45,2,90.13,3,1.77,1,83.33,2,23247.89,0.02,0.49,4,0.18,0.05,0.27,0.3,0,2,0.69,0,1,0,0.17,0.79
Cuernavaca,Morelos,2010,0.96,1,0.68,0.51,2.06,211.11,3,0.56,3,93.75,2,14032.24,0.02,1.56,4.13,0.01,0.73,0.27,0.28,0,0,0.89,0,10,0.04,0.24,0.72
Tepic,Nayarit,2010,0.96,0,0.55,0.31,3,115.36,3.67,2.28,0,100,1,18362.33,0.04,0.29,4,0,0.21,0.24,0.2,0,2,0.29,3,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2010,0.99,1,0.45,0.24,2.02,40.43,3.67,1.3,13,96.15,35,15699.29,0.01,0.87,9,0,3.16,0.32,0.19,0.01,3,0.74,19,13,0.01,0.37,0.65
Oaxaca,Oaxaca,2010,0.97,0,0.62,0.59,3,78.56,2.33,0.12,3,89.77,26,19922.75,0.02,0.54,1.18,0.06,0.27,0.11,0.2,0,0,0,10,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2010,0.73,0,0.53,0.42,3,2.03,3.33,0.8,3,66.67,17,40426.03,0,14.87,1,0,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2010,0.96,1,0.66,0.51,2.88,60.72,2.33,0.75,8,87.18,22,14660.8,0.04,1.69,4.46,0.03,0.64,0.45,0.19,0,1,0.59,8,4,0.01,0.19,0.7
Tehuacán,Puebla,2010,0.93,0,0.64,0.48,3,58.7,3.33,0.01,0,75,0,14581.94,0.03,1.05,4,0.08,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2010,0.99,0,0.58,0.47,2.02,87,1.67,0.9,8,87.5,4,10690.96,0.07,0.92,5,0,1.28,0.21,0.21,0,0,0.36,7,16,0.01,0.36,0.74
San Juan del Río,Queretaro,2010,0.98,0,0.68,0.46,2,99.31,3,1.68,2,100,2,15212.8,0.06,3.85,2,0,0.7,0.51,0.22,0,2,0.33,0,4,0.07,0.24,0.78
Cancún,Quintana Roo,2010,0.95,1,0.52,0.41,3,156.78,4.67,1.8,4,87.5,0,33645.72,0.01,0.28,4,0,2.15,0.3,0.23,0.01,1,0.98,41,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2010,0.84,0,0.49,0.44,3.09,248.28,4.33,0.4,0,75,1,98132.33,0.02,0.49,4,0,0.2,0.25,0.17,0.01,2,0.34,2,2,0,0.39,0.9
Rioverde-Ciudad Fernández,San Luis Potosi,2010,0.76,0,0.64,0.43,3.06,73.38,4.67,0.89,0,75,0,40562.96,0.02,0.99,1,0,0.22,0.09,0.21,0,2,0.49,0,0,0.05,0.22,0.93
